12-06 21:38:12: Training starting...
12-06 21:38:14: New best reward 17.0 (-100.0%) at episode 0, saving model...
12-06 21:38:14: New best reward 53.0 (+211.8%) at episode 1, saving model...
12-06 21:38:14: New best reward 56.0 (+5.7%) at episode 31, saving model...
12-06 21:38:14: New best reward 67.0 (+19.6%) at episode 169, saving model...
12-06 21:38:14: New best reward 68.0 (+1.5%) at episode 193, saving model...
12-06 21:38:14: New best reward 73.0 (+7.4%) at episode 202, saving model...
12-06 21:38:15: New best reward 95.0 (+30.1%) at episode 228, saving model...
12-06 21:38:15: New best reward 109.0 (+14.7%) at episode 354, saving model...
12-06 21:38:16: New best reward 120.0 (+10.1%) at episode 527, saving model...
12-06 21:38:16: New best reward 154.0 (+28.3%) at episode 585, saving model...
12-06 21:38:17: New best reward 196.0 (+27.3%) at episode 721, saving model...
12-06 21:38:19: New best reward 278.0 (+41.8%) at episode 1033, saving model...
12-06 21:38:20: New best reward 322.0 (+15.8%) at episode 1082, saving model...
12-06 21:38:23: New best reward 339.0 (+5.3%) at episode 1277, saving model...
12-06 21:38:24: New best reward 388.0 (+14.5%) at episode 1349, saving model...
12-06 21:38:26: New best reward 443.0 (+14.2%) at episode 1482, saving model...
12-06 21:38:41: New best reward 457.0 (+3.2%) at episode 2244, saving model...
12-06 21:38:53: New best reward 556.0 (+21.7%) at episode 2790, saving model...
12-06 21:39:09: New best reward 651.0 (+17.1%) at episode 3430, saving model...
12-06 21:39:11: New best reward 884.0 (+35.8%) at episode 3494, saving model...
12-06 21:39:41: New best reward 899.0 (+1.7%) at episode 4221, saving model...
12-06 21:39:44: New best reward 1019.0 (+13.3%) at episode 4275, saving model...
12-06 21:40:21: New best reward 1309.0 (+28.5%) at episode 5081, saving model...
12-06 21:41:39: New best reward 1466.0 (+12.0%) at episode 6557, saving model...
12-06 21:42:44: New best reward 2626.0 (+79.1%) at episode 7619, saving model...
12-06 21:47:54: New best reward 100000.0 (+3708.1%) at episode 10584, saving model...
