12-06 12:21:32: Training starting...
12-06 12:21:34: New best reward -6.9 (-100.0%) at episode 0, saving model...
12-06 12:21:34: New best reward -6.3 (-8.7%) at episode 8, saving model...
12-06 12:21:34: New best reward -3.3 (-47.6%) at episode 20, saving model...
12-06 12:21:36: New best reward -2.1 (-36.4%) at episode 498, saving model...
12-06 12:21:38: New best reward 3.9 (-285.7%) at episode 893, saving model...
12-06 12:23:00: New best reward 4.1 (+5.1%) at episode 8696, saving model...
12-06 12:23:32: New best reward 4.4 (+7.3%) at episode 10842, saving model...
12-06 12:23:35: New best reward 4.5 (+2.3%) at episode 11028, saving model...
12-06 12:23:54: New best reward 6.0 (+33.3%) at episode 12530, saving model...
12-06 12:23:56: New best reward 6.3 (+5.0%) at episode 12749, saving model...
12-06 12:24:15: New best reward 6.4 (+1.6%) at episode 14888, saving model...
12-06 12:24:18: New best reward 6.5 (+1.6%) at episode 15295, saving model...
12-06 12:24:29: New best reward 6.6 (+1.5%) at episode 16152, saving model...
12-06 12:24:43: New best reward 6.8 (+3.0%) at episode 17678, saving model...
12-06 12:24:59: New best reward 7.2 (+5.9%) at episode 19485, saving model...
12-06 12:25:17: New best reward 8.4 (+16.7%) at episode 21467, saving model...
12-06 12:28:05: New best reward 10.7 (+27.4%) at episode 33180, saving model...
12-06 12:28:48: New best reward 12.9 (+20.6%) at episode 35396, saving model...
12-06 13:08:54: New best reward 13.9 (+7.8%) at episode 210907, saving model...
12-06 13:09:06: New best reward 17.9 (+28.8%) at episode 211631, saving model...
12-06 13:09:10: New best reward 18.0 (+0.6%) at episode 211925, saving model...
12-06 13:09:20: New best reward 20.3 (+12.8%) at episode 212598, saving model...
12-06 13:09:39: New best reward 26.9 (+32.5%) at episode 213762, saving model...
12-06 13:11:23: New best reward 32.8 (+21.9%) at episode 219948, saving model...
12-06 13:13:19: New best reward 36.4 (+11.0%) at episode 226482, saving model...
12-06 13:14:02: New best reward 36.7 (+0.8%) at episode 228788, saving model...
12-06 13:14:24: New best reward 39.2 (+6.8%) at episode 229920, saving model...
12-06 13:14:28: New best reward 48.8 (+24.5%) at episode 230047, saving model...
12-06 13:15:23: New best reward 50.4 (+3.3%) at episode 232738, saving model...
12-06 13:19:07: New best reward 51.4 (+2.0%) at episode 243425, saving model...
12-06 13:21:32: New best reward 79.6 (+54.9%) at episode 250646, saving model...
12-06 14:01:11: New best reward 83.7 (+5.2%) at episode 364857, saving model...
12-06 14:29:47: New best reward 112.1 (+33.9%) at episode 441423, saving model...
